LP6005441-DNA_A10,33.59
LP6005442-DNA_B12,33.86
LP6005442-DNA_A04,33.95
LP6005442-DNA_H09,34.11
LP6005442-DNA_A02,34.21
LP6005441-DNA_B11,34.22
LP6005441-DNA_E07,34.59
LP6005441-DNA_F06,34.65
LP6005592-DNA_B04,34.65
LP6005441-DNA_D11,34.77
LP6005441-DNA_C08,34.95
LP6005443-DNA_E08,35.15
LP6005441-DNA_C03,35.21
LP6005442-DNA_C10,35.22
LP6005442-DNA_G03,35.24
LP6005441-DNA_B01,35.33
LP6005442-DNA_A10,35.59
LP6005441-DNA_B12,35.63
LP6005442-DNA_A11,35.67
LP6005442-DNA_B02,35.98
LP6005519-DNA_H03,36.11
LP6005677-DNA_B01,36.15
LP6005442-DNA_E11,36.34
LP6005441-DNA_C11,36.38
LP6005443-DNA_B09,36.6
LP6005442-DNA_D01,36.61
LP6005442-DNA_F04,36.71
LP6005442-DNA_C07,36.74
LP6005592-DNA_B02,36.96
LP6005441-DNA_D08,37.11
LP6005441-DNA_E06,37.12
LP6005442-DNA_E07,37.18
LP6005442-DNA_C11,37.2
LP6005443-DNA_C09,37.2
LP6005441-DNA_A11,37.24
SS6004476,37.39
LP6005442-DNA_H11,37.44
LP6005442-DNA_B03,37.52
LP6005442-DNA_C02,37.58
LP6005442-DNA_F09,37.65
SS6004469,37.72
LP6005442-DNA_G07,37.73
LP6005441-DNA_G07,37.77
LP6005441-DNA_F10,37.84
LP6005441-DNA_B02,37.87
LP6005441-DNA_G08,37.87
SS6004480,37.93
LP6005441-DNA_D03,38
LP6005677-DNA_G01,38.27
LP6005441-DNA_B08,38.3
LP6005442-DNA_D08,38.34
LP6005442-DNA_D11,38.35
LP6005442-DNA_H03,38.39
LP6005519-DNA_C06,38.4
LP6005441-DNA_B07,38.44
LP6005441-DNA_D12,38.48
LP6005441-DNA_D02,38.49
LP6005442-DNA_B01,38.65
LP6005442-DNA_C04,38.65
LP6005443-DNA_F02,38.73
LP6005443-DNA_H02,38.76
LP6005441-DNA_A08,38.78
LP6005443-DNA_E06,38.84
LP6005442-DNA_D10,38.85
LP6005677-DNA_A02,38.86
LP6005443-DNA_F04,38.86
LP6005442-DNA_D02,38.86
LP6005441-DNA_H11,38.9
LP6005442-DNA_F11,38.91
LP6005442-DNA_H10,38.92
LP6005441-DNA_H03,38.93
LP6005441-DNA_E09,38.93
LP6005442-DNA_A12,38.93
LP6005441-DNA_F07,39.02
LP6005441-DNA_D04,39.05
SS6004470,39.08
LP6005441-DNA_E08,39.08
